,datetime,network,receiver,sender,status,txfee,txhash,unixtimestamp,value
58,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.00225933,536157c9bf8f8ba8dbbf6b07852582f517d5bae8874c57b3fb46f21f7f5089a7,1514679269,0.13171395
59,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.00258726,2a7c1972266419a9c9edacd5031f87825e63d19ab20711a4fd7cdd9f8dad5ea1,1514679269,0.00643487
60,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.0019,57518cf851dce55497ad9a4356c576642d8784c83e042be74a458476eae84adf,1514679269,0.09610576
61,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.00212555,11e462e38b895598d28e769dc80a9209813e6d9d0c325ccdad7e9f0102f11042,1514679269,0.04759246
62,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.00210746,e1c0c5a7672b67765fb27ec7026b89fdc62ca2b9b566d9c2ffe88f476e74ae20,1514679269,0.49789254
63,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.00242371,58043b89f85a8fd9deca5173c98522e5de0c312cb4003a442d20906b3b576970,1514679269,0.02864429
64,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.00484736,3802fb8d11ad84a59d236cc220dc10d98f14dfd24e470b2cdbf20694f2f668f2,1514679269,1.81475474
65,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.01478048,1dfcdb19979d028acdb8020ef77113f67c26ac1bde71a78c7f3269f4f2b23245,1514679269,0.8740692
66,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.0025734,d9e4cc85c94028e6d3f5c8fb9bce6a9dea6236668241d1dce4c2bf680b1edeb7,1514679269,0.67811407
67,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.00136726,2070502ca3b7ad8577766fad084242fb8e7e3135747ff651e647652bf53becb3,1514679269,0.19823572
68,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.0025734,3330f0b7f2bc8fc9748a145cab18c12d348a88ffcda17185bf99f1c51dadfa28,1514679269,0.92442329
69,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.0043688,898a670c79f5a5e2b255e3bd352722ece739b92798eaf0b95a2f5f3576f84d76,1514679269,8.86205098
70,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.0043688,1ec6b07753bbfb89049216d07dee7b4a6932c55062736f5ecd0357c626fea9c1,1514679269,2.06178003
71,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.0022542,c64c9278e58380071b35aaaec044db11f2c4a236cd3ff0e1a7820e8a380cdbdd,1514679269,57.26917006
72,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.0025734,599270db845abb69e7413eda3446a6e0279db0661f8543fb361d7b2b662b971a,1514679269,0.65381638
73,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.0025734,1c920d7e66f00182a78ea2e590419ca5aaa254d83a67e38bc3af77bf63d73359,1514679269,12.94722951
74,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.0025734,554d27cbd74f14e9f8efe09cb2dfe4e721e904271972e553d4e28cda25090ec5,1514679269,0.66495933
75,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.00361113,1ed65c4ed0a07fb71ee9ab42d9e33ddb7517f8b414c94ef9c6260ae56fdb7a1f,1514679269,0.09958647
76,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.00426951,a83f162abb75929527d5dbd73b59e6817a1b150cfe79d88c71060216b88bb8a8,1514679269,7.70347061
77,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.0043688,e6bf9bde78ecb253ed51611d1344aae6c8495306d0e71666b49d3694c736db1b,1514679269,2.81677167
78,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.0043688,86fc76531c855466f43d592fa8e09ac826bc5e2637f635074d5980269c4d215b,1514679269,0.86760205
79,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.00975499,2c22449f4467fe8d1ac5e9c5ca25c3e16a2a933b93b84de5f1c50b94b620a1c6,1514679269,1.61375112
80,2017-12-30 19:14:29,Bitcoin,SomeNumberOfReceivers,SomeNumberOfSenders,1,0.00630452,6ab5dbcc6793d259bd11a3b196fd6f8da6078de57711f687106782e5446e3614,1514679269,2.87535505
